Assignment Title	Hyperlink Title     Zoom Link
CSCI-10A-Video-Links-F25	Lec 13 - toString, equals and compareTo methods, BlackJack g	https://mpc-edu.zoom.us/rec/play/4wM2CLRk1GLEhY8ys5gz1DF7w4kzfH7CbKdaw7KxKGcLimYEvCZVKAJxzxW14I7yQ9a9Pl-ammPwNTcq.OO46CehZH8tTVP_1?eagerLoadZvaPages=sidemenu.billing.plan_management&isReferralProgramEnabled=false&isReferralProgramAvailable=false&accessLevel=meeting&canPlayFromShare=true&from=my_recording&startTime=1731004939000&componentName=rec-play&originRequestUrl=https%3A%2F%2Fmpc-edu.zoom.us%2Frec%2Fshare%2FgDXpvnhTgmXB2ZVYZns6uXNkN8VDlnvAjBUzddf5iq789eRuqIl6Yk22z1jvatWw.dGG9GvwhqHpa7Xu4%3FstartTime%3D1731004939000
CSCI-10A-Video-Links-F25	Lec 14 - ArrayList class	https://mpc-edu.zoom.us/rec/share/JeTL73J2rIh10OQL3B_qaeuESi2U-wH0XzIlP92NscNWJP9m8p5iM9qAmw5Hp5JR.Q7TB2KACyk3dII4A?startTime=1763059399000
CSCI-10A-Video-Links-F25	Lec 15 - Object-Oriented Programming + Inheritance Lab	https://mpc-edu.zoom.us/j/6967810050
CSCI-10A-Video-Links-F25	Start on Assign14-Alt	https://mpc-edu.zoom.us/rec/share/7AhkSkmx70cAb32pICmtcl5xegvCpNQXeAMFyN8_knr_TdeHqUFZlXeM1QMhROwI.pWCeON6eC_kDG0ef?startTime=1763665246000
CSCI-10A-Video-Links-F25	How to turn in Final Project	https://mpc-edu.zoom.us/rec/share/RA3otq2uhWYNkqUcl8etf5r5A_LRoiuYYU6v5sDPkQGv6dUydgh9n-9C6IMqb24r.swbmeLiXEK3w7qYn?startTime=1733254092000
CSCI-10A-Video-Links-F25	Practice Final Exam Solution	https://mpc-edu.zoom.us/rec/play/oM7sw1EFijTHRfk_ynA9ZHvyOc2i8dqxLHGnyg_qdFC8ivixJIoFA734FayuvcVBOQKVzxaxpllWBa3W.v_7x9A63UlmfvqFK?autoplay=true&startTime=1733427499000
CSCI-10B-Video-Links-S26	Lab 2 - Part A - Bag Class, Inheritance, Composition	https://mpc-edu.zoom.us/rec/share/xTTCTnslEvcqu3LXKKHFhcSOOdAWWOEdrNTEF3ZU_flcteSrindrB_hORHr0kOw.hqTa7wsOYWehusXi?startTime=1770244736000
CSCI-10B-Video-Links-S26	Lab 2B - Stacks, Interfaces, Wrapper Classes, Stack RPN Proc	https://mpc-edu.zoom.us/rec/share/Ct4YZnqbiVkLQoCwNLakcZ4-GTi4P4qcJiQ_jW1rtU4FoYgBmem_Gy3zAP95FOQZ.ZmoAki2pyq4QQvaa?startTime=1770677707000
CSCI-10B-Video-Links-S26	Lab 3A - Array Algorithms	https://mpc-edu.zoom.us/rec/share/kbVv1N_Ypc2JnSFvQOfmAf_mBJHP00fZm2GZqYmmUrgGM4NLVrhzVWDigW_2GiI.1D536U0DNrxpYJHB?startTime=1770849767000
CSCI-10B-Video-Links-S26	Lab 3B - Linked Lists	https://mpc-edu.zoom.us/rec/share/owkjOX0u-i9hVo8Ygf0hWDbx__-2yHyGKcxUp0bY3XGbF_JYuulKbc4xC4gX1O0.2HJsJND1pn3HdDNn?startTime=1771454270000
